#stripid,cmsswid,FED,CCU,VFE
34440,872422845,603,16,1
34448,872422590,603,16,3
34568,872422461,603,16,5
41032,872423250,603,24,4
41040,872423121,603,24,5
41048,872422993,603,8,1
41096,872422738,603,8,2
41104,872422610,603,8,3
41160,872422483,603,8,5
41168,872422228,603,4,1
41224,872421846,603,3,5
41232,872421844,603,4,4
41288,872422735,603,13,2
41352,872422481,603,8,4
41360,872422479,603,13,4
41416,872422225,603,4,2
41424,872422095,603,9,2
41480,872421969,603,4,3
41488,872421839,603,9,4
41496,872421841,603,4,5
41544,872422860,603,13,1
41552,872422604,603,13,3
41608,872422476,603,13,5
41672,872422220,603,9,1
41680,872421964,603,9,3
41736,872421836,603,9,5
41800,872422728,603,14,3
41808,872422599,603,14,4
41864,872422471,603,14,5
41872,872422217,603,10,1
41928,872422089,603,10,3
41992,872421833,603,10,5
42056,872422468,603,15,5
42120,872422213,603,11,1
42184,872422087,603,10,2
42192,872421957,603,11,3
42248,872421831,603,10,4
42256,872421828,603,11,5
42376,872422082,603,11,2
42504,872421826,603,11,4
42632,872422206,603,12,1
42640,872422078,603,12,2
42760,872421950,603,12,3
42768,872421822,603,12,4
49224,872421334,604,3,5
49232,872421461,604,4,4
49288,872421203,604,4,1
49296,872420948,604,8,5
49352,872420818,604,8,3
49360,872420690,604,8,2
49416,872420561,604,8,1
49424,872420433,604,24,5
49432,872420180,604,24,4
49480,872421585,604,4,5
49488,872421456,604,9,4
49496,872421457,604,4,3
49544,872421199,604,9,2
49552,872421201,604,4,2
49608,872420689,604,8,4
49616,872420816,604,13,4
49672,872420559,604,13,2
49736,872421581,604,9,5
49800,872421324,604,9,3
49808,872421196,604,9,1
49864,872420941,604,13,5
49928,872420684,604,13,3
49936,872420556,604,13,1
49992,872421578,604,10,5
50056,872421322,604,10,3
50120,872421192,604,10,1
50128,872421063,604,14,5
50184,872420935,604,14,4
50192,872420683,604,14,3
50248,872421575,604,10,4
50256,872421572,604,11,5
50312,872421316,604,11,3
50320,872421191,604,10,2
50376,872421188,604,11,1
50440,872420933,604,15,5
50568,872421443,604,11,4
50696,872421186,604,11,2
50824,872421566,604,12,4
50832,872421440,604,12,3
50952,872421310,604,12,2
50960,872421182,604,12,1
57416,872420049,604,24,3
57424,872419921,604,24,1
57480,872419409,604,25,4
57488,872419536,604,28,4
57544,872419406,604,28,3
57552,872419278,604,28,1
57608,872419148,604,29,5
57616,872418893,604,29,4
57672,872420048,604,27,3
57680,872420302,604,27,5
57736,872420044,604,27,2
57744,872419916,604,27,1
57800,872419660,604,28,5
57864,872419276,604,28,2
57872,872419274,604,32,2
57928,872420172,604,27,4
57936,872420298,604,31,5
57992,872420042,604,31,3
58056,872419912,604,31,1
58064,872419530,604,32,4
58120,872419655,604,32,5
58128,872419401,604,32,3
58184,872420679,604,14,2
58192,872420551,604,14,1
58248,872420295,604,31,4
58312,872420038,604,33,3
58320,872419911,604,31,2
58376,872419908,604,33,1
58440,872420677,604,15,3
58504,872420548,604,15,1
58568,872420292,604,33,5
58632,872420163,604,33,4
58760,872420930,604,15,4
58768,872420800,604,16,4
58776,872420546,604,15,2
58888,872420544,604,16,2
59016,872420925,604,16,5
59144,872420797,604,16,3
59152,872420796,605,3,5
59160,872420541,604,16,1
65608,872418636,604,29,2
65616,872418635,605,7,2
65672,872418378,605,8,5
65680,872418632,605,7,1
65736,872417991,605,8,2
65744,872418247,605,8,4
65800,872417989,605,14,2
65808,872418243,605,14,3
65864,872419015,605,7,4
65872,872419143,605,7,5
65928,872418631,605,7,3
65992,872418373,605,14,5
66000,872418628,605,13,1
66056,872418242,605,14,4
66120,872419270,605,12,3
66128,872419271,604,32,1
66184,872418886,605,13,4
66192,872419267,605,12,1
66248,872418882,605,13,3
66256,872419010,605,13,5
66312,872418626,605,13,2
66320,872418625,605,20,3
66376,872419778,605,12,5
66384,872419523,605,12,4
66440,872419266,605,12,2
66504,872419265,605,19,2
66568,872419007,605,20,5
66576,872419262,605,19,1
66632,872420033,605,18,3
66640,872419906,604,33,2
66696,872419648,605,19,5
66704,872419903,605,18,1
66760,872419519,605,19,4
66824,872419261,605,19,3
66952,872420158,605,18,4
66960,872420413,605,18,5
67080,872419901,605,18,2
67088,872419899,605,26,2
67208,872420538,605,25,5
67336,872420153,605,26,3
67344,872420281,605,26,5
